Region,Region 9-digit-code,Region Code ODS,Upper Tier Authority,Upper Tier Authority Code 9,Upper Tier Authority Code 4,Eligible,Screened,Coverage,Age,No_80%,Rank of Coverage,Year,Quarter,Coverage_Change
LONDON,E12000007,H,Barking and Dagenham,E09000002,00AB,42357,29000,68.46566093,25_49,4886,116,01/07/2014,Q3,n/a
LONDON,E12000007,H,Barking and Dagenham,E09000002,00AB,12506,9635,77.04301935,50_64,370,113,01/07/2014,Q3,n/a
LONDON,E12000007,H,Barnet,E09000003,00AC,79346,50768,63.98306153,25_49,12709,136,01/07/2014,Q3,n/a
LONDON,E12000007,H,Barnet,E09000003,00AC,29358,22120,75.345732,50_64,1367,134,01/07/2014,Q3,n/a
YORKSHIRE AND THE HUMBER,E12000003,D,Barnsley,E08000016,00CC,39600,30095,75.99747475,25_49,1585,19,01/07/2014,Q3,n/a
YORKSHIRE AND THE HUMBER,E12000003,D,Barnsley,E08000016,00CC,20355,16385,80.49619258,50_64,n/a,15,01/07/2014,Q3,n/a
SOUTH WEST,E12000009,K,Bath and North East Somerset,E06000022,00HA,29513,21262,72.04282858,25_49,2349,79,01/07/2014,Q3,n/a
SOUTH WEST,E12000009,K,Bath and North East Somerset,E06000022,00HA,15388,12284,79.82843774,50_64,27,33,01/07/2014,Q3,n/a
EAST,E12000006,G,Bedford,E06000055,00KB,30093,21239,70.57787525,25_49,2836,95,01/07/2014,Q3,n/a
EAST,E12000006,G,Bedford,E06000055,00KB,13639,10750,78.81809517,50_64,162,66,01/07/2014,Q3,n/a
LONDON,E12000007,H,Bexley,E09000004,00AD,42500,32093,75.51294118,25_49,1907,26,01/07/2014,Q3,n/a
LONDON,E12000007,H,Bexley,E09000004,00AD,19689,15540,78.92731982,50_64,212,63,01/07/2014,Q3,n/a
WEST MIDLANDS,E12000005,F,Birmingham,E08000025,00CN,208969,133304,63.79128005,25_49,33872,138,01/07/2014,Q3,n/a
WEST MIDLANDS,E12000005,F,Birmingham,E08000025,00CN,77258,58095,75.1960962,50_64,3712,137,01/07/2014,Q3,n/a
NORTH WEST,E12000002,B,Blackburn with Darwen,E06000008,00EX,26586,16864,63.43188144,25_49,4405,141,01/07/2014,Q3,n/a
NORTH WEST,E12000002,B,Blackburn with Darwen,E06000008,00EX,11065,8211,74.20695888,50_64,641,142,01/07/2014,Q3,n/a
NORTH WEST,E12000002,B,Blackpool,E06000009,00EY,24058,16338,67.91088204,25_49,2909,120,01/07/2014,Q3,n/a
NORTH WEST,E12000002,B,Blackpool,E06000009,00EY,12405,9027,72.76904474,50_64,897,146,01/07/2014,Q3,n/a
NORTH WEST,E12000002,B,Bolton,E08000001,00BL,50095,35228,70.32238746,25_49,4848,99,01/07/2014,Q3,n/a
NORTH WEST,E12000002,B,Bolton,E08000001,00BL,22923,17908,78.12240981,50_64,431,91,01/07/2014,Q3,n/a
SOUTH WEST,E12000009,K,Bournemouth,E06000028,00HN,34315,23864,69.54393123,25_49,3588,105,01/07/2014,Q3,n/a
SOUTH WEST,E12000009,K,Bournemouth,E06000028,00HN,13660,10576,77.42313324,50_64,352,105,01/07/2014,Q3,n/a
SOUTH EAST,E12000008,J,Bracknell Forest,E06000036,00MA,22002,16804,76.37487501,25_49,798,15,01/07/2014,Q3,n/a
SOUTH EAST,E12000008,J,Bracknell Forest,E06000036,00MA,9530,7691,80.70304302,50_64,n/a,11,01/07/2014,Q3,n/a
YORKSHIRE AND THE HUMBER,E12000003,D,Bradford,E08000032,00CX,94687,65398,69.06755943,25_49,10352,109,01/07/2014,Q3,n/a
YORKSHIRE AND THE HUMBER,E12000003,D,Bradford,E08000032,00CX,38211,30059,78.66582921,50_64,510,75,01/07/2014,Q3,n/a
LONDON,E12000007,H,Brent,E09000005,00AE,77384,47647,61.57215962,25_49,14261,145,01/07/2014,Q3,n/a
LONDON,E12000007,H,Brent,E09000005,00AE,25003,19673,78.68255809,50_64,330,71,01/07/2014,Q3,n/a
SOUTH EAST,E12000008,J,Brighton and Hove,E06000043,00ML,59598,40622,68.16000537,25_49,7057,119,01/07/2014,Q3,n/a
SOUTH EAST,E12000008,J,Brighton and Hove,E06000043,00ML,20457,15550,76.01310065,50_64,816,123,01/07/2014,Q3,n/a
SOUTH WEST,E12000009,K,Bristol  City of,E06000023,00HB,92273,63840,69.18600241,25_49,9979,107,01/07/2014,Q3,n/a
SOUTH WEST,E12000009,K,Bristol  City of,E06000023,00HB,30449,23039,75.66422543,50_64,1321,129,01/07/2014,Q3,n/a
LONDON,E12000007,H,Bromley,E09000006,00AF,60719,45137,74.33752203,25_49,3439,43,01/07/2014,Q3,n/a
LONDON,E12000007,H,Bromley,E09000006,00AF,28133,21778,77.4108698,50_64,729,106,01/07/2014,Q3,n/a
SOUTH EAST,E12000008,J,Buckinghamshire,E10000002,11,89285,65582,73.45242762,25_49,5846,64,01/07/2014,Q3,n/a
SOUTH EAST,E12000008,J,Buckinghamshire,E10000002,11,45864,36882,80.41601256,50_64,n/a,17,01/07/2014,Q3,n/a
NORTH WEST,E12000002,B,Bury,E08000002,00BM,33426,24126,72.17734698,25_49,2615,78,01/07/2014,Q3,n/a
NORTH WEST,E12000002,B,Bury,E08000002,00BM,15909,12564,78.97416557,50_64,164,62,01/07/2014,Q3,n/a
YORKSHIRE AND THE HUMBER,E12000003,D,Calderdale,E08000033,00CY,35872,27444,76.50535236,25_49,1254,13,01/07/2014,Q3,n/a
YORKSHIRE AND THE HUMBER,E12000003,D,Calderdale,E08000033,00CY,17827,14254,79.95736804,50_64,8,28,01/07/2014,Q3,n/a
EAST,E12000006,G,Cambridgeshire,E10000003,12,116382,81403,69.94466498,25_49,11703,102,01/07/2014,Q3,n/a
EAST,E12000006,G,Cambridgeshire,E10000003,12,52741,41407,78.51007755,50_64,786,81,01/07/2014,Q3,n/a
LONDON,E12000007,H,Camden,E09000007,00AG,57515,33681,58.56037555,25_49,12331,149,01/07/2014,Q3,n/a
LONDON,E12000007,H,Camden,E09000007,00AG,14697,10676,72.64067497,50_64,1082,147,01/07/2014,Q3,n/a
EAST,E12000006,G,Central Bedfordshire,E06000056,00KC,46087,35067,76.0887018,25_49,1803,18,01/07/2014,Q3,n/a
