OrganisationID,OrganisationCode,OrganisationType,SubType,Sector,OrganisationStatus,IsPimsManaged,OrganisationName,Address1,Address2,Address3,City,County,Postcode,Latitude,Longitude,ParentODSCode,ParentName
1421,RV9HE,Hospital,Mental Health Hospital,NHS Sector,Visible,TRUE,East Riding Community Hospital,Swinemoor Lane,,,Beverley,East Yorkshire,HU17 0FA,53.85313416,-0.411472321,RV9,Humber NHS Foundation Trust
1611,5P603,Hospital,Hospital,NHS Sector,Visible,TRUE,Zachary Merton Community Hospital ,Zachary Merton Community Hospital,Glenville Road,Rustington,Littlehampton,Sussex,BN16 2EB,50.8078804,-0.50063163,RDR,Sussex Community NHS Trust
17967,NDA04,Hospital,Hospital,Independent Sector,Visible,TRUE,Musculoskeletal physiotherapy service - Cranleigh Village Hospital,,6 High Street,,Cranleigh,Surrey,GU6 8AE,51.14077377,-0.486525953,NDA,Virgin Care Services Ltd
17970,NDA07,Hospital,Hospital,Independent Sector,Visible,TRUE,Walton Community Hospital,,Rodney Road,,Walton-on-Thames,Surrey,KT12 3LD,51.3800087,-0.406027377,NDA,Virgin Care Services Ltd
17981,NDA18,Hospital,Hospital,Independent Sector,Visible,TRUE,Woking Community Hospital (Virgin Care),,Heathside Road,,Woking,Surrey,GU22 7HS,51.31496429,-0.556524336,NDA,Virgin Care Services Ltd
17989,NDA26,Hospital,Hospital,Independent Sector,Visible,TRUE,Milford Specialist Rehabilitation Hospital,,Tuesley Lane,,Godalming,Surrey,GU7 1UF,51.16779709,-0.626303434,NDA,Virgin Care Services Ltd
17995,NDA32,Hospital,Hospital,Independent Sector,Visible,TRUE,Sexual Health Surrey - Cobham Community Hospital,,168 Portsmouth Road,,Cobham,Surrey,KT11 1HT,51.33452225,-0.408538431,NDA,Virgin Care Services Ltd
18082,NLL04,Hospital,Hospital,Independent Sector,Visible,TRUE,Launceston General Hospital,Link Road,,,Launceston,Cornwall,PL15 9JD,50.62841034,-4.359747887,NLL,Peninsula Community Health C.I.C
18083,NLL07,Hospital,Hospital,Independent Sector,Visible,TRUE,Liskeard Community Hospital,Clemo Road,,,Liskeard,Cornwall,PL14 3XD,50.46159363,-4.450982571,NLL,Peninsula Community Health C.I.C
18084,NLL08,Hospital,Hospital,Independent Sector,Visible,TRUE,St Barnabas Hospital,Higher Port View,,,Saltash,Cornwall,PL12 4BU,50.40738297,-4.214673996,NLL,Peninsula Community Health C.I.C
