,,,,,,,,,,,,,,,,,,,,,,,,
,Title:,"A&E Monthly activity statistics, NHS and independent sector organisations in England",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Summary:,A&E performance and activity ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Period:,November 2015,,,,,,,,,,,,,,,,,,,,,,
,Source:,Unify2 data collection - MSitAE,,,,,,,,,,,,,,,,,,,,,,
,Basis:,Provider,,,,,,,,,,,,,,,,,,,,,,
,Published:,14th January 2016,,,,,,,,,,,,,,,,,,,,,,
,Revised:,,,,,,,,,,,,,,,,,,,,,,,
,Status:,Published,,,,,,,,,,,,,,,,,,,,,,
,Contact:,Katie Tither - Unify2@dh.gsi.gov.uk,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Provider Level Data,,,,,,,,,,,,,,,,,,,,,,,
,,,,A&E attendances,,,,"A&E attendances > 4 hours from arrival to admission, transfer or discharge",,,,,,Emergency Admissions,,,,,,,,,,
,Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (all),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission,,,
,-,-,England,"1,236,293","48,306","589,635","1,874,234","160,494",475,"2,504","163,473",87.0%,91.3%,"340,412","1,042","4,162","345,616","129,840","475,456","34,172",32,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,RF4,London Commissioning Region,"Barking, Havering And Redbridge University Hospitals NHS Trust","19,659",557,"2,846","23,062","3,393",2,4,"3,399",82.7%,85.3%,"4,502",0,0,"4,502",43,"4,545",115,0,,,
,R1H,London Commissioning Region,Barts Health NHS Trust,"26,908",631,"9,932","37,471","4,865",30,182,"5,077",81.9%,86.5%,"6,290",0,0,"6,290","1,310","7,600",850,0,,,
,AD913,London Commissioning Region,Beckenham Beacon Ucc,0,0,"4,005","4,005",0,0,14,14,N/A,99.7%,0,0,0,0,0,0,0,0,,,
,RYX,London Commissioning Region,Central London Community Healthcare NHS Trust,0,0,"17,130","17,130",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RQM,London Commissioning Region,Chelsea And Westminster Hospital NHS Foundation Trust,"15,824",0,"6,874","22,698","1,152",0,52,"1,204",92.7%,94.7%,"3,662",0,0,"3,662",476,"4,138",112,4,,,
,RJ6,London Commissioning Region,Croydon Health Services NHS Trust,"6,143",0,"3,532","9,675",409,0,58,467,93.3%,95.2%,"1,716",0,0,"1,716",846,"2,562",31,0,,,
,Y02696,London Commissioning Region,Edmonton GP Walk In Centre,0,0,"1,044","1,044",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,NX122,London Commissioning Region,Edridge Road Community Health Centre,0,0,"3,098","3,098",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RVR,London Commissioning Region,Epsom And St Helier University Hospitals NHS Trust,"12,336",419,0,"12,755",713,0,0,713,94.2%,94.4%,"3,091",2,0,"3,093",191,"3,284",176,0,,,
,RJ1,London Commissioning Region,Guy's And St Thomas' NHS Foundation Trust,"11,978",754,"2,967","15,699","1,082",0,0,"1,082",91.0%,93.1%,"2,803",0,0,"2,803",561,"3,364",117,0,,,
,Y03082,London Commissioning Region,Harold Wood Walk In Centre,0,0,"3,796","3,796",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RQX,London Commissioning Region,Homerton University Hospital NHS Foundation Trust,"10,058",0,0,"10,058",496,0,0,496,95.1%,95.1%,"1,515",0,0,"1,515",227,"1,742",68,0,,,
,RY9,London Commissioning Region,Hounslow And Richmond Community Healthcare NHS Trust,0,0,"4,053","4,053",0,0,1,1,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RYJ,London Commissioning Region,Imperial College Healthcare NHS Trust,"9,638","3,511","10,279","23,428","2,409",19,129,"2,557",75.0%,89.1%,"3,474",0,0,"3,474",897,"4,371",163,0,,,
,RJZ,London Commissioning Region,King's College Hospital NHS Foundation Trust,"17,500","2,136","5,410","25,046","2,627",3,169,"2,799",85.0%,88.8%,"4,797",0,0,"4,797",419,"5,216",410,1,,,
