"Anxiety1 by Health and Well-being Boards, April 2012 to March 2015",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Per cent in each category on 11 point scale2:,,,,Average (mean) rating,Confidence limits (95%),,,,,,,,,,,,,,,,
,,Very Low,Low,Medium,High,,Very Low,,,Low,,,Medium,,,High,,,Average (mean) rating,,,Sample size,
,,0-1,2-3,4-5,6-10,,0-1,,,2-3,,,4-5,,,6-10,,,,,,,
Area Codes,Area names,,,,,,CV,Lower limit,Upper limit,CV,Lower limit,Upper limit,CV,Lower limit,Upper limit,CV,Lower limit,Upper limit,CV,Lower limit,Upper limit,,
K02000001,United Kingdom,39.83,23.23,16.88,20.06,2.93,0.29,39.60,40.05,0.41,23.04,23.41,0.50,16.72,17.05,0.46,19.88,20.24,0.22,2.92,2.94,"304,400",
,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,,,,,,,,,,,,,,,,,,,,,,
E06000047,County Durham,41.45,17.96,16.00,24.60,3.11,3.10,38.92,43.97,5.48,16.02,19.89,5.58,14.24,17.75,4.62,22.37,26.83,2.60,2.95,3.27,"1,750",
E06000005,Darlington,44.20,21.35,13.81,20.64,2.79,3.01,41.58,46.81,5.24,19.16,23.55,6.80,11.97,15.66,5.17,18.54,22.73,2.72,2.64,2.94,"1,590",
E06000001,Hartlepool,47.70,16.65,15.20,20.45,2.69,2.74,45.13,50.27,5.93,14.71,18.59,6.30,13.32,17.08,4.89,18.49,22.41,2.87,2.54,2.84,"1,740",
E06000002,Middlesbrough,43.06,17.80,15.21,23.93,3.04,3.38,40.21,45.92,5.80,15.77,19.82,6.40,13.30,17.12,5.01,21.58,26.28,3.04,2.86,3.22,"1,620",
E06000057,Northumberland,37.37,26.19,15.81,20.63,2.97,3.49,34.82,39.93,4.46,23.89,28.48,6.00,13.95,17.67,5.38,18.45,22.81,2.56,2.82,3.11,"1,680",
E06000003,Redcar and Cleveland,44.63,19.12,16.62,19.63,2.83,2.98,42.02,47.25,5.79,16.95,21.30,5.84,14.71,18.52,5.24,17.61,21.65,2.78,2.67,2.98,"1,610",
