Year,Org_Type,ONS_Code,Org_Code,Org_Name,Classification,Metric_Primary,Value
2015,National,E92000001,ENG,England,FAE_Primary_Obesity,All persons,9130
2015,National,U,U,Unknown,FAE_Primary_Obesity,All persons,0
2015,Region,E12000001,A,North East,FAE_Primary_Obesity,All persons,1829
2015,LocalAuthority,E06000005,117,Darlington Borough Council (Unitary)                                                                ,FAE_Primary_Obesity,All persons,54
2015,LocalAuthority,E06000047,116,Durham County Council                                                                               ,FAE_Primary_Obesity,All persons,507
2015,LocalAuthority,E08000037,106,Gateshead Metropolitan Borough Council                                                              ,FAE_Primary_Obesity,All persons,138
2015,LocalAuthority,E06000001,111,Hartlepool Borough Council (Unitary)                                                                ,FAE_Primary_Obesity,All persons,82
2015,LocalAuthority,E06000002,112,Middlesbrough Council (Unitary)                                                                     ,FAE_Primary_Obesity,All persons,89
2015,LocalAuthority,E08000021,107,Newcastle-upon-Tyne City Council                                                          ,FAE_Primary_Obesity,All persons,80
2015,LocalAuthority,E08000022,108,North Tyneside Council                                                                              ,FAE_Primary_Obesity,All persons,56
2015,LocalAuthority,E06000057,104,Northumberland County Council                                                                       ,FAE_Primary_Obesity,All persons,78
2015,LocalAuthority,E06000003,113,Redcar & Cleveland Borough Council                                                                  ,FAE_Primary_Obesity,All persons,82
2015,LocalAuthority,E08000023,109,South Tyneside Metropolitan Borough Council                                                         ,FAE_Primary_Obesity,All persons,152
2015,LocalAuthority,E06000004,114,Stockton-on-Tees Borough Council (Unitary)                                                          ,FAE_Primary_Obesity,All persons,136
2015,LocalAuthority,E08000024,110,Sunderland City Council                                                                             ,FAE_Primary_Obesity,All persons,375
2015,Region,E12000002,B,North West,FAE_Primary_Obesity,All persons,887
2015,LocalAuthority,E06000008,324,Blackburn with Darwen Borough Council (Unitary)                                                     ,FAE_Primary_Obesity,All persons,29
2015,LocalAuthority,E06000009,325,Blackpool Borough Council (Unitary)                                                                 ,FAE_Primary_Obesity,All persons,28
2015,LocalAuthority,E08000001,304,Bolton Metropolitan Borough Council                                                                 ,FAE_Primary_Obesity,All persons,30
2015,LocalAuthority,E08000002,305,Bury Metropolitan Borough Council                                                                   ,FAE_Primary_Obesity,All persons,20
2015,LocalAuthority,E06000049,326,Cheshire East Council                                                                               ,FAE_Primary_Obesity,All persons,33
2015,LocalAuthority,E06000050,327,Cheshire West and Chester Council,FAE_Primary_Obesity,All persons,74
2015,LocalAuthority,E10000006,102,Cumbria County Council                                                                              ,FAE_Primary_Obesity,All persons,71
2015,LocalAuthority,E06000006,321,Halton Borough Council (Unitary)                                                                    ,FAE_Primary_Obesity,All persons,21
2015,LocalAuthority,E08000011,315,Knowsley Metropolitan Borough Council                                                               ,FAE_Primary_Obesity,All persons,37
2015,LocalAuthority,E10000017,323,Lancashire County Council                                                                           ,FAE_Primary_Obesity,All persons,83
2015,LocalAuthority,E08000012,316,Liverpool City Council                                                                              ,FAE_Primary_Obesity,All persons,81
2015,LocalAuthority,E08000003,306,Manchester City Council                                                                             ,FAE_Primary_Obesity,All persons,73
2015,LocalAuthority,E08000004,307,Oldham Metropolitian Borough Council                                                                ,FAE_Primary_Obesity,All persons,25
2015,LocalAuthority,E08000005,308,Rochdale Metropolitan Borough Council                                                               ,FAE_Primary_Obesity,All persons,49
2015,LocalAuthority,E08000006,309,Salford City Council                                                                                ,FAE_Primary_Obesity,All persons,17
2015,LocalAuthority,E08000014,317,Sefton Council                                                                                      ,FAE_Primary_Obesity,All persons,46
2015,LocalAuthority,E08000013,318,St Helens Metropolitan Borough Council                                                              ,FAE_Primary_Obesity,All persons,24
2015,LocalAuthority,E08000007,310,Stockport Metropolitan Borough Council                                                              ,FAE_Primary_Obesity,All persons,16
