Area Codes,Area Names,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015
K02000001,UNITED KINGDOM,80.5,80.7,80.9,81.3,81.5,81.6,81.8,82.1,82.5,82.6,82.8,82.9,82.9
E92000001,ENGLAND,80.7,80.9,81.1,81.5,81.7,81.9,82.1,82.3,82.7,82.9,83,83.1,83.1
E12000001,NORTH EAST,79.5,79.6,79.8,80.1,80.3,80.4,80.7,81,81.4,81.5,81.6,81.6,81.6
E06000047,County Durham,79.2,79.3,79.4,79.9,80.2,80.4,80.6,80.9,81.3,81.5,81.3,81.3,81.2
E06000005,Darlington,79.6,79.8,80,80,80.4,80.5,80.8,81.4,82.1,82.5,82.4,82.2,81.9
E06000001,Hartlepool,78.4,78.3,78.4,78.4,78.1,79,79.7,80.9,81,81.3,81.5,81.6,81.3
E06000002,Middlesbrough,78.1,77.9,78.6,79,79.4,79.6,79.5,79.9,80,80.2,80.1,79.8,79.8
E06000057,Northumberland,80.6,80.8,80.9,81.1,81.2,81.4,81.5,82,82.3,82.4,82.4,82.5,82.6
E06000003,Redcar and Cleveland,79.5,79.9,80.1,80.2,80.5,80.7,81.3,81.4,81.7,81.8,81.9,81.9,81.8
E06000004,Stockton-on-Tees,79.7,79.9,79.9,80.1,80.6,80.7,80.9,81.3,81.6,82.1,82.1,82.2,81.7
E11000007,Tyne and Wear (Met County),79.4,79.5,79.8,80.1,80.4,80.3,80.6,80.7,81.2,81.2,81.5,81.5,81.5
E08000037,Gateshead,79.2,79.5,79.6,80,80.4,80.5,80.7,81.1,81.3,81.3,81.1,81.2,81.4
E08000021,Newcastle upon Tyne,79.6,79.7,80,80.1,80.2,80.1,80.4,80.4,81.1,81.3,81.7,81.8,81.5
E08000022,North Tyneside,80,80,80.4,80.6,80.9,80.6,81,81.2,81.6,81.9,82.4,82.6,82.4
E08000023,South Tyneside,79.7,79.4,79.8,80,80.3,80.1,80.4,80.5,81,81,81.4,81.4,81.5
E08000024,Sunderland,78.9,79,79.4,79.7,80.1,80.3,80.5,80.4,80.7,80.7,80.8,80.7,80.9
E12000002,NORTH WEST ,79.5,79.7,79.9,80.2,80.4,80.5,80.7,81,81.4,81.6,81.7,81.8,81.8
E06000008,Blackburn with Darwen,77.7,78.3,78.6,79.3,79.4,79.7,79.6,79.9,80.4,80.8,81.2,81.1,80.8
E06000009,Blackpool,78.4,78.4,78.8,78.8,79.1,78.9,79.5,79.5,79.9,79.9,80.1,79.9,79.4
E06000049,Cheshire East,81.2,81.2,81.5,81.8,82.3,82.5,82.6,82.8,83.1,83.2,83.5,83.7,83.7
