Code	Name	Estimated Population mid-2015	Births	Deaths	Births minus Deaths	Internal Migration Inflow	Internal Migration Outflow	Internal Migration Net	International Migration Inflow	International Migration Outflow	International Migration Net	Other	Estimated Population mid-2016
K02000001	UNITED KINGDOM	"65,110,034"	"780,983"	"588,143"	"192,840"	:	:	-13	"649,550"	"313,899"	"335,651"	"9,542"	"65,648,054"
K03000001	GREAT BRITAIN	"63,258,413"	"756,604"	"572,802"	"183,802"	:	:	-13	"636,552"	"302,359"	"334,193"	"9,522"	"63,785,917"
K04000001	ENGLAND AND WALES	"57,885,413"	"701,348"	"516,725"	"184,623"	"43,889"	"52,695"	"-8,806"	"596,152"	"284,859"	"311,293"	"8,694"	"58,381,217"
E92000001	ENGLAND	"54,786,327"	"668,063"	"484,202"	"183,861"	"95,356"	"107,541"	"-12,185"	"579,326"	"277,709"	"301,617"	"8,447"	"55,268,067"
E12000001	NORTH EAST	"2,624,621"	"28,582"	"27,392"	"1,190"	"43,090"	"42,072"	"1,018"	"15,572"	"5,950"	"9,622"	397	"2,636,848"
E06000047	County Durham	"519,695"	"5,341"	"5,501"	-160	"17,232"	"15,935"	"1,297"	"2,079"	801	"1,278"	33	"522,143"
E06000005	Darlington	"105,389"	"1,198"	"1,152"	46	"3,712"	"3,652"	60	342	252	90	61	"105,646"
E06000001	Hartlepool	"92,493"	"1,071"	"1,004"	67	"2,341"	"2,257"	84	273	103	170	3	"92,817"
E06000002	Middlesbrough	"139,509"	"1,883"	"1,411"	472	"6,013"	"6,714"	-701	"1,444"	337	"1,107"	11	"140,398"
E06000057	Northumberland	"315,263"	"2,869"	"3,511"	-642	"9,854"	"8,669"	"1,185"	481	484	-3	199	"316,002"
E06000003	Redcar and Cleveland	"135,275"	"1,411"	"1,533"	-122	"4,105"	"4,080"	25	318	93	225	1	"135,404"
E06000004	Stockton-on-Tees	"194,803"	"2,243"	"1,882"	361	"6,287"	"6,574"	-287	"1,114"	341	773	31	"195,681"
E11000007	Tyne and Wear (Met County)	"1,122,194"	"12,566"	"11,398"	"1,168"	"29,203"	"29,848"	-645	"9,521"	"3,539"	"5,982"	58	"1,128,757"
E08000037	Gateshead	"200,996"	"2,241"	"2,137"	104	"7,612"	"7,685"	-73	"1,094"	545	549	16	"201,592"
E08000021	Newcastle upon Tyne	"292,883"	"3,422"	"2,525"	897	"19,074"	"20,039"	-965	"5,782"	"2,134"	"3,648"	15	"296,478"
E08000022	North Tyneside	"202,494"	"2,261"	"2,148"	113	"7,381"	"7,084"	297	707	318	389	14	"203,307"
E08000023	South Tyneside	"148,671"	"1,741"	"1,668"	73	"3,777"	"3,300"	477	321	120	201	-4	"149,418"
E08000024	Sunderland	"277,150"	"2,901"	"2,920"	-19	"6,774"	"7,155"	-381	"1,617"	422	"1,195"	17	"277,962"
E12000002	NORTH WEST	"7,173,835"	"86,624"	"69,861"	"16,763"	"117,264"	"111,647"	"5,617"	"52,937"	"29,961"	"22,976"	432	"7,219,623"
E06000008	Blackburn with Darwen	"146,846"	"2,188"	"1,260"	928	"4,617"	"5,653"	"-1,036"	992	690	302	9	"147,049"
E06000009	Blackpool	"139,578"	"1,672"	"1,857"	-185	"7,747"	"7,996"	-249	609	549	60	-9	"139,195"
E06000049	Cheshire East	"375,392"	"3,890"	"3,810"	80	"14,810"	"13,687"	"1,123"	"1,652"	"1,608"	44	56	"376,695"
E06000050	Cheshire West and Chester	"333,917"	"3,573"	"3,413"	160	"14,332"	"13,002"	"1,330"	"1,519"	"1,195"	324	-51	"335,680"
E06000006	Halton	"126,528"	"1,530"	"1,189"	341	"3,543"	"3,557"	-14	268	230	38	10	"126,903"
E06000007	Warrington	"207,695"	"2,367"	"1,892"	475	"7,077"	"6,807"	270	"1,146"	832	314	55	"208,809"
E10000006	Cumbria	"497,996"	"4,806"	"5,430"	-624	"11,882"	"11,518"	364	"1,549"	"1,359"	190	-20	"497,906"
E07000026	Allerdale	"96,660"	882	"1,098"	-216	"3,024"	"2,574"	450	208	148	60	2	"96,956"
E07000027	Barrow-in-Furness	"67,515"	780	767	13	"1,639"	"1,794"	-155	113	100	13	-65	"67,321"
E07000028	Carlisle	"108,155"	"1,243"	"1,107"	136	"3,638"	"3,536"	102	367	378	-11	27	"108,409"
E07000029	Copeland	"69,647"	714	743	-29	"1,696"	"2,083"	-387	92	32	60	16	"69,307"
E07000030	Eden	"52,565"	399	526	-127	"2,265"	"2,123"	142	190	135	55	4	"52,639"
E07000031	South Lakeland	"103,454"	788	"1,189"	-401	"4,700"	"4,488"	212	579	566	13	-4	"103,274"
E11000001	Greater Manchester (Met County)	"2,756,162"	"37,119"	"24,182"	"12,937"	"67,422"	"68,871"	"-1,449"	"28,747"	"14,403"	"14,344"	147	"2,782,141"
E08000001	Bolton	"281,619"	"3,838"	"2,571"	"1,267"	"8,666"	"9,430"	-764	"2,174"	"1,190"	984	9	"283,115"
E08000002	Bury	"187,884"	"2,423"	"1,912"	511	"7,189"	"7,478"	-289	"1,055"	500	555	8	"188,669"
E08000003	Manchester	"530,292"	"8,069"	"3,498"	"4,571"	"38,378"	"38,588"	-210	"14,362"	"7,726"	"6,636"	-26	"541,263"
E08000004	Oldham	"230,823"	"3,323"	"2,127"	"1,196"	"6,619"	"7,375"	-756	"1,801"	341	"1,460"	1	"232,724"
E08000005	Rochdale	"214,195"	"2,980"	"1,993"	987	"7,171"	"7,218"	-47	"1,612"	607	"1,005"	25	"216,165"
E08000006	Salford	"245,614"	"3,670"	"2,122"	"1,548"	"13,068"	"13,532"	-464	"3,578"	"1,592"	"1,986"	42	"248,726"
E08000007	Stockport	"288,733"	"3,441"	"2,712"	729	"11,325"	"10,493"	832	845	587	258	5	"290,557"
E08000008	Tameside	"221,692"	"2,927"	"2,171"	756	"7,538"	"7,146"	392	813	479	334	15	"223,189"
E08000009	Trafford	"233,288"	"2,869"	"1,909"	960	"10,438"	"10,435"	3	"1,203"	781	422	0	"234,673"
