
"annual survey of hours and earnings  - workplace analysis"
"ONS Crown Copyright Reserved [from Nomis on 5 July 2017]"
"Analysis   :","standard"
"Date       :","2016"
"Sex        :","Full Time Workers"
"Item Name  :","Median"
"Confidence :","Standard error as a percentage of the figure"

"Area","Weekly pay - gross","Conf %"

"ualad09:Southampton",562.0,3.0
"country:Great Britain",540.2,0.2
"gor:South East",566.0,0.8




"","Results for 2003 and earlier exclude supplementary surveys. In 2006 there"
"","were a number of methodological changes made. For further details goto :"
"","http://www.nomisweb.co.uk/articles/341.aspx"
"","http://www.nomisweb.co.uk/articles/341.aspx"


"","Estimates for 2011 and subsequent years use a weighting scheme based on"
"","occupations which have been coded according to Standard Occupational"
"","Classification (SOC) 2010 that replaced SOC 2000.  Therefore care"
"","should be taken when making comparisons with earlier years."
"","should be taken when making comparisons with earlier years."

