Area Codes,Area Names,Sub Area Names,Sub-sub Area Names,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015
K02000001,UNITED KINGDOM,,,16.1,16.3,16.6,16.9,17.2,17.4,17.6,17.8,18.1,18.3,18.4,18.5,18.5
E92000001,ENGLAND,,,16.3,16.5,16.8,17.1,17.3,17.5,17.7,18,18.2,18.4,18.5,18.6,18.7
E12000001,NORTH EAST,,,15.2,15.5,15.7,16.1,16.4,16.5,16.8,17,17.4,17.5,17.7,17.8,17.8
E06000047,,County Durham,,15.2,15.5,15.7,16,16.3,16.5,16.8,17,17.5,17.6,17.7,17.8,18
E06000005,,Darlington,,15.2,15.5,16,16.4,16.9,17.2,17.4,17.5,17.7,17.8,18.1,18,18
E06000001,,Hartlepool,,14.7,15,15.1,15.4,15.5,15.6,15.9,16.2,17,17.2,17.5,17.5,17.3
E06000002,,Middlesbrough,,15.3,15.2,15.2,15.4,15.7,16,16.3,16.4,16.5,16.6,16.8,16.9,17
E06000057,,Northumberland,,15.7,15.9,16.3,16.9,17.3,17.5,17.7,18,18.3,18.3,18.4,18.5,18.6
E06000003,,Redcar and Cleveland,,15.8,15.8,15.9,16.3,16.8,16.8,17.2,17.5,18,18,18,18.1,18
E06000004,,Stockton-on-Tees,,15.5,15.9,15.9,16.4,16.5,16.6,16.6,16.9,17.3,17.7,18.1,18.2,18.1
E11000007,,Tyne and Wear (Met County),,15.1,15.3,15.6,15.9,16.1,16.2,16.5,16.7,17,17.2,17.4,17.5,17.5
E08000037,,,Gateshead,15,15.5,15.9,16.4,16.7,16.7,16.8,16.9,17.1,17.5,17.5,17.7,17.7
E08000021,,,Newcastle upon Tyne,15.3,15.5,15.7,15.9,15.9,16,16.2,16.6,17,17.2,17.7,17.7,17.7
E08000022,,,North Tyneside,15.4,15.4,15.9,16.1,16.4,16.4,16.7,16.9,17.3,17.5,17.6,17.4,17.2
E08000023,,,South Tyneside,15,15.1,15.2,15.6,15.8,16.1,16.4,16.5,16.7,16.7,17,17.4,17.5
E08000024,,,Sunderland,14.6,14.9,15.3,15.6,15.8,15.9,16.3,16.5,17,17.2,17.3,17.3,17.2
E12000002,NORTH WEST ,,,15.5,15.7,15.9,16.2,16.5,16.7,16.9,17.1,17.4,17.7,17.8,17.9,17.9
E06000008,,Blackburn with Darwen,,15.1,15.1,15.5,15.8,15.9,16.2,16.1,16.6,16.8,17.3,17.2,17.3,17.5
E06000009,,Blackpool,,15.1,15.3,15.4,15.7,15.9,16.2,16.1,16,16.1,16.4,16.6,16.8,16.5
E06000049,,Cheshire East,,16.5,16.7,17,17.3,17.7,17.8,18.1,18.3,18.8,19.1,19.2,19.2,19.4
E06000050,,Cheshire West and Chester,,16.5,16.6,16.9,17.1,17.4,17.5,17.8,18.1,18.4,18.4,18.5,18.7,18.9
E06000006,,Halton,,14.8,15,15.3,15.5,15.8,15.7,15.9,16.1,16.7,16.9,17,17.1,17.3
