Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MYE2: Population estimates: Persons by single year of age and sex for local authorities in the UK, mid-2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Name,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
K02000001,UNITED KINGDOM,"65,648,054","782,450","784,742","793,611","813,356","840,155","828,601","812,484","803,811","809,767","782,793","766,430","736,871","724,466","703,991","693,304","713,265","732,627","757,787","771,671","803,577","813,795","820,603","855,164","866,757","897,432","919,209","904,256","896,615","905,621","884,947","891,665","892,005","871,090","877,283","876,120","882,678","882,844","846,857","789,744","777,414","792,198","806,821","821,482","858,012","895,552","924,703","903,397","925,800","926,287","938,960","938,175","945,494","936,069","916,258","895,985","865,596","830,426","812,245","793,819","764,599","736,774","708,964","709,733","699,876","678,886","682,468","694,358","709,665","745,554","804,472","619,560","597,927","593,765","550,605","490,208","439,073","450,537","442,052","424,589","398,273","373,203","347,936","316,032","293,264","276,311","253,540","227,122","196,886","168,738","146,702","571,245"
K03000001,GREAT BRITAIN,"63,785,917","757,964","760,244","768,955","788,201","814,181","802,820","787,022","778,002","783,937","758,150","742,960","714,011","701,847","681,845","671,088","690,869","709,364","733,484","747,145","779,692","790,408","797,380","831,379","842,942","872,898","894,495","879,636","871,958","880,641","859,872","866,454","866,983","846,415","852,851","851,631","857,678","857,877","822,870","766,860","754,691","769,411","783,527","797,522","833,152","870,298","898,942","877,657","899,763","899,736","912,502","911,692","918,553","909,607","890,453","870,834","840,860","806,735","789,258","771,164","742,908","716,030","689,225","690,386","680,955","660,717","664,346","676,239","691,821","727,816","786,802","603,288","581,914","577,989","535,500","476,808","427,153","439,105","430,679","413,990","388,105","363,933","339,336","308,242","285,846","269,646","247,459","221,763","192,104","164,752","143,180","558,514"
K04000001,ENGLAND AND WALES,"58,381,217","702,448","703,660","711,790","729,969","754,440","741,125","728,221","717,666","723,753","700,304","686,326","657,869","646,764","628,447","617,967","635,430","652,501","674,503","686,194","713,266","721,884","727,282","758,804","768,520","794,550","816,440","804,693","797,538","806,128","787,679","794,888","795,897","777,540","783,096","781,000","787,578","789,181","756,473","705,072","693,919","705,285","718,969","732,036","763,566","796,416","822,153","801,954","820,977","819,525","831,740","831,506","835,486","827,619","808,805","791,032","762,890","731,446","714,644","698,691","672,433","647,778","623,893","626,021","617,979","600,090","603,270","615,157","629,501","663,797","717,775","551,517","533,364","528,711","488,707","434,181","388,021","399,669","392,692","377,527","354,277","331,934","309,653","281,157","261,327","246,514","226,887","203,913","176,572","151,877","132,031","517,447"
E92000001,ENGLAND,"55,268,067","669,103","669,817","677,469","694,761","717,896","703,755","691,506","681,478","686,819","664,708","651,144","623,877","613,777","595,930","585,526","601,534","617,703","638,474","648,918","672,781","680,387","685,748","715,536","726,123","752,162","773,554","763,613","757,456","767,042","749,922","757,634","758,621","741,533","746,768","745,067","750,423","751,937","721,171","672,364","661,116","672,257","684,648","696,493","725,840","756,028","779,687","760,798","777,816","776,814","787,964","787,783","790,516","782,476","764,921","747,399","720,501","690,480","674,170","658,879","633,630","610,494","587,509","588,568","580,671","563,731","566,478","577,281","590,764","622,899","674,633","518,596","500,806","496,588","458,582","406,717","363,263","375,407","369,087","354,957","333,332","312,214","291,144","264,161","245,530","232,310","213,876","192,240","166,582","143,201","124,347","487,846"
E12000001,NORTH EAST,"2,636,848","28,662","28,629","29,472","30,302","31,367","31,474","31,050","30,173","30,728","29,666","29,862","28,097","27,612","26,907","26,480","27,314","28,414","29,530","31,070","35,358","37,350","37,315","37,086","36,468","37,815","37,360","35,120","33,938","34,026","32,812","33,801","33,136","31,876","32,013","31,557","31,928","32,335","30,927","27,932","27,191","28,755","29,234","29,664","31,839","34,488","36,518","35,152","35,646","36,440","37,563","38,370","39,268","38,862","38,991","38,495","36,824","35,834","36,177","35,917","34,321","32,870","31,456","31,461","30,991","29,953","30,236","30,747","31,341","32,762","35,450","26,721","25,674","24,835","22,249","20,461","18,978","19,703","19,511","18,981","17,718","15,986","15,334","13,764","12,745","11,816","10,891","9,515","7,977","6,727","5,764","21,720"
E06000047,County Durham,"522,143","5,347","5,394","5,617","5,780","5,807","6,087","5,999","5,686","5,948","5,737","5,681","5,471","5,242","5,201","4,966","5,187","5,431","5,709","6,175","7,484","7,892","7,597","7,229","6,947","7,376","7,162","6,570","5,955","5,834","5,708","6,270","6,200","5,923","6,285","6,141","6,035","6,070","5,843","5,351","5,188","5,489","5,603","5,717","6,396","6,849","7,468","7,082","7,498","7,625","7,821","7,937","8,052","8,048","7,842","7,760","7,374","7,020","7,301","7,077","6,961","6,664","6,529","6,397","6,447","6,243","6,372","6,462","6,662","6,819","7,520","5,716","5,635","5,503","4,767","4,374","4,094","4,113","3,975","3,861","3,664","3,221","3,081","2,731","2,478","2,226","2,128","1,824","1,601","1,306","1,102","4,183"
E06000005,Darlington,"105,646","1,192","1,225","1,248","1,311","1,373","1,252","1,341","1,313","1,272","1,263","1,325","1,218","1,241","1,198","1,148","1,124","1,204","1,271","1,266","1,006",973,"1,054","1,106","1,031","1,266","1,343","1,224","1,211","1,304","1,281","1,269","1,258","1,336","1,240","1,230","1,350","1,363","1,351","1,215","1,167","1,205","1,290","1,346","1,344","1,474","1,550","1,564","1,436","1,485","1,591","1,650","1,625","1,524","1,585","1,574","1,529","1,396","1,433","1,437","1,290","1,307","1,183","1,216","1,226","1,166","1,172","1,189","1,261","1,264","1,442","1,118","1,085","1,002",856,819,783,797,860,782,727,678,650,562,561,481,419,376,351,297,287,"1,038"
E06000001,Hartlepool,"92,817","1,087","1,035","1,085","1,112","1,174","1,207","1,186","1,165","1,164","1,165","1,159","1,065","1,019","1,023",976,"1,078","1,147","1,151","1,096","1,050","1,023","1,128","1,152","1,112","1,302","1,239","1,128","1,168","1,258","1,248","1,166","1,175","1,169","1,092","1,102","1,059","1,087","1,026",931,930,967,986,"1,021","1,166","1,190","1,302","1,262","1,221","1,274","1,404","1,408","1,463","1,387","1,421","1,437","1,385","1,265","1,315","1,210","1,223","1,104","1,125","1,020","1,072","1,078","1,032","1,072","1,126","1,115","1,170",900,855,769,694,710,595,685,664,690,666,560,563,501,482,452,369,340,282,235,193,752
E06000002,Middlesbrough,"140,398","1,870","1,955","1,990","2,010","1,996","2,035","1,895","1,762","1,851","1,771","1,825","1,671","1,640","1,504","1,497","1,607","1,636","1,665","1,810","2,245","2,395","2,379","2,468","2,500","2,395","2,223","2,101","2,165","2,134","1,845","1,946","1,847","1,754","1,800","1,725","1,684","1,628","1,560","1,481","1,421","1,488","1,527","1,537","1,597","1,665","1,780","1,730","1,605","1,765","1,736","1,871","1,980","1,854","1,868","1,995","1,840","1,763","1,741","1,786","1,714","1,608","1,568","1,485","1,502","1,383","1,355","1,343","1,310","1,427","1,502","1,133","1,058","1,008",976,943,867,865,857,886,791,742,710,632,632,508,537,445,358,315,256,868
E06000057,Northumberland,"316,002","2,887","2,790","2,976","3,168","3,288","3,354","3,445","3,307","3,507","3,231","3,435","3,326","3,403","3,224","3,329","3,291","3,417","3,598","3,437","2,849","2,769","2,806","2,857","3,181","3,357","3,418","3,172","3,116","3,324","3,141","3,274","3,370","3,151","3,169","3,238","3,278","3,562","3,515","3,147","3,128","3,296","3,463","3,526","3,782","4,025","4,463","4,247","4,385","4,508","4,692","4,741","5,119","5,107","5,025","4,990","4,916","5,008","5,005","4,900","4,679","4,633","4,422","4,518","4,415","4,387","4,511","4,578","4,660","5,068","5,307","3,993","3,950","3,802","3,454","2,966","2,823","2,816","2,752","2,573","2,478","2,236","2,203","1,902","1,754","1,619","1,493","1,341","1,109",926,899,"3,302"
